address,block,reserve0,reserve1
c2adda861f89bbb333c90c492cb837741916a225,99fbb3,fbcfafdb759a2124,189199b916e7aaa43
ecd65d5ff4d2c6511091fc8fe8765a237dbf1195,99fbb5,1312d00,796e3ea3f8ab00000
bb2b8038a1640196fbe3e38816f3e67cba72d940,99fbb5,a7373f,3bd58ee71ee6f7b1
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fbb6,1a9c1fa65aaca,55384e4dca2a9fd17
5d27df1a6e03254e4f1218607d8e073667ffae2f,99fbb9,d,1b0257af70c00
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,99fbc0,22b84678333568a7bb5,262bc9bee
231f3381d10478bfc2ca552195b9d8b15968b60c,99fbc1,3e76068e6696c26e0d8f4,20bf60e8783d58bf8
3b0f0fe3be830826d833a67cd1d7c80edf3fb49b,99fbc4,6194049f30f7200000,7ce66c50e2840000
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fbc4,1a9e98edc3a7b,553068ffe5b2c8e5c
99731c13ef1aab58e48fa9a96defefdf1b8de164,99fbcc,15e7008ba255a86800,d74f12e14211000
c2adda861f89bbb333c90c492cb837741916a225,99fbd4,10f64b9cb8b9a1915,1a7ab69673212bd9c
c2adda861f89bbb333c90c492cb837741916a225,99fbd6,140cd6016a68d18fc,1f4cd171c184b94b6
260e069dead76baac587b5141bb606ef8b9bab6c,99fbd7,1a877fc975a0481a2f,640f3bd9daee911
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99fbd7,92d1ccd,b0e5de57994698a
ad3b5027d090b7bc120dc264906ca4642b0fb9f3,99fbdc,3d9774f98c,7e37a806228e0524c
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fbdc,e86c5025135d2ffc4b,121867b5e030b9e4d
260e069dead76baac587b5141bb606ef8b9bab6c,99fbdd,19f47ded428e8f25a5,6647ab00d6fe911
f49144e61c05120f1b167e4b4f59cf0a5d77903f,99fbde,6eaf4bc9ce21a80f723,14215aac5c796369
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fbe1,19ceb22c3c49b,57e0bf991aee28e5c
bb2b8038a1640196fbe3e38816f3e67cba72d940,99fbea,9bc5de,403e278d3ee59bb0
c5be99a02c6857f9eac67bbce58df5572498f40c,99fbeb,de0b6b3a7640000,2a600b9c00
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,99fbec,228d3e09e958fd3da77,265b78c6e
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fbec,eb1cd709b123e69d89,11e391f498e17dcf0
260e069dead76baac587b5141bb606ef8b9bab6c,99fbee,1967b912d3c1699376,68801a27d30e911
260e069dead76baac587b5141bb606ef8b9bab6c,99fbef,19f28035d84b519376,6652d3f74b29fe5
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fbf4,120f5c4826ed5931a22,15fc6b7654cf06da1
c5a788f63e5d9cf2c324621eed51a98f85ae373b,99fbf5,2cf6708a613,28f0652cc62c9775e2
8aec9fa239417c8eb778728c175f2b5c36cb1ccf,99fbf6,4d036a1124e32f33,5192028ef9080c9c
b784ced6994c928170b417bbd052a096c6fb17e2,99fbf8,1b4b2ee5f3b3149c,4b7ec32d7a20000
bb2b8038a1640196fbe3e38816f3e67cba72d940,99fbf9,996e00,413a1510cc06ae82
0ffc70be6e2d841e109653ddb3034961591679d6,99fbfa,16345785d8a0000,1a1dc739299d4c252b
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fbfe,11eb465fb699db752ad,1628d425608046da1
260e069dead76baac587b5141bb606ef8b9bab6c,99fc01,1b69337acaf2dd9376,60e010ad650b3ed
70ea56e46266f0137bac6b75710e3546f47c855d,99fc04,984c8f16c9c465187,16a77326b3590000
3b0f0fe3be830826d833a67cd1d7c80edf3fb49b,99fc04,50a33598e3218e00000,67374ed82cf7c0000
596a92f8d8b8906fae8e3dad346284f354830e1a,99fc08,17c9050451adad9f2aa6,6fdad3e338fc00
30eb5e15476e6a80f4f3cd8479749b4881dab1b8,99fc0a,34011cbec0da,3555a3e76001
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fc0b,1298f19f39adc0e116a,155a7e902555d7652
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fc0b,1217af34f401faa08fd,15f382ad349f10552
596a92f8d8b8906fae8e3dad346284f354830e1a,99fc0f,54a249828c95a110331,1f8243a77df5a00
ad3b5027d090b7bc120dc264906ca4642b0fb9f3,99fc13,3ec346b6df,809e109336e152264
0ffc70be6e2d841e109653ddb3034961591679d6,99fc13,f386ca4dcddb20,2622da5397c0b0252b
b784ced6994c928170b417bbd052a096c6fb17e2,99fc13,1f6aba3f7778f51c,419ce424a0550a1
260e069dead76baac587b5141bb606ef8b9bab6c,99fc14,af7c371ec14facde40,26c32595781df187
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc15,1a907f018d320,5561819178523da1b
a32523371390b0cc4e11f6bb236ecf4c2cdea101,99fc15,28a857425466f800000,58d15e176280000
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fc15,1493bfe2ef49eb84406,18f73b9f0716ff7fc
